epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5379,0.96537,4.30604,1.49196,0.03276,0.63045,0.06986,0.05156,0.79584,3.57537,1.49759,9.19952e-05,9.19952e-05,9.19952e-05
2,30.3999,0.85119,3.97158,1.3859,0.58216,0.19409,0.18719,0.13466,0.92657,3.02481,1.59256,0.000181006,0.000181006,0.000181006
3,44.761,0.91374,3.55675,1.42033,0.60976,0.27668,0.30449,0.21924,0.98766,2.59644,1.63136,0.000266346,0.000266346,0.000266346
4,57.794,0.93707,3.06942,1.41589,0.67427,0.42208,0.47403,0.35156,0.94436,2.04214,1.59239,0.000261487,0.000261487,0.000261487
5,71.2034,0.93308,2.63457,1.40769,0.59203,0.53684,0.56986,0.41986,0.95824,1.872,1.60041,0.000255982,0.000255982,0.000255982
6,83.9433,0.90339,2.32351,1.37586,0.6235,0.63624,0.67275,0.49136,0.99505,1.51782,1.61139,0.000250478,0.000250478,0.000250478
7,95.7617,0.87064,2.08342,1.35712,0.69099,0.69403,0.7283,0.55931,0.93139,1.45247,1.5696,0.000244974,0.000244974,0.000244974
8,108.154,0.87178,1.94021,1.33984,0.69303,0.68309,0.74545,0.54953,0.93715,1.39369,1.56773,0.000239469,0.000239469,0.000239469
9,122.277,0.85515,1.81305,1.34413,0.76271,0.68507,0.7761,0.57539,0.92543,1.23185,1.54001,0.000233965,0.000233965,0.000233965
10,135.175,0.85401,1.70729,1.33229,0.77361,0.71663,0.79556,0.59425,0.89863,1.21937,1.5081,0.00022846,0.00022846,0.00022846
11,147.694,0.8149,1.55818,1.30152,0.75187,0.77893,0.81822,0.60544,0.9113,1.14058,1.53567,0.000222956,0.000222956,0.000222956
12,159.993,0.81487,1.53249,1.30672,0.74945,0.78329,0.84244,0.62044,0.95528,1.10713,1.59577,0.000217452,0.000217452,0.000217452
13,172.069,0.78467,1.41478,1.27236,0.7625,0.80349,0.85182,0.63628,0.92698,1.0531,1.55021,0.000211947,0.000211947,0.000211947
14,185.321,0.77417,1.39499,1.27534,0.7944,0.8338,0.86163,0.64683,0.88541,1.04576,1.53772,0.000206443,0.000206443,0.000206443
15,199.806,0.78523,1.33237,1.26716,0.84883,0.78897,0.84958,0.63888,0.89464,1.02263,1.51109,0.000200938,0.000200938,0.000200938
16,211.871,0.77934,1.28521,1.2702,0.75753,0.78571,0.84899,0.63193,0.9214,1.01133,1.57324,0.000195434,0.000195434,0.000195434
17,223.909,0.75049,1.24224,1.25482,0.73593,0.84826,0.86006,0.65586,0.87032,0.96304,1.50352,0.00018993,0.00018993,0.00018993
18,236.054,0.73646,1.20945,1.24614,0.78271,0.8142,0.85301,0.64074,0.89539,1.02106,1.5325,0.000184425,0.000184425,0.000184425
19,248.308,0.7235,1.18701,1.23855,0.83944,0.79267,0.86434,0.63869,0.91528,0.93279,1.55721,0.000178921,0.000178921,0.000178921
20,262.104,0.72875,1.13932,1.22753,0.81128,0.8458,0.87652,0.64742,0.92203,0.90106,1.55794,0.000173416,0.000173416,0.000173416
21,275.964,0.71649,1.12377,1.22523,0.83037,0.8573,0.88734,0.66219,0.89119,0.87146,1.52548,0.000167912,0.000167912,0.000167912
22,289.713,0.69274,1.09951,1.21268,0.84011,0.82983,0.87992,0.65699,0.89663,0.91381,1.52523,0.000162408,0.000162408,0.000162408
23,304.482,0.69084,1.06486,1.20572,0.86435,0.84736,0.8935,0.67351,0.89509,0.82367,1.52683,0.000156903,0.000156903,0.000156903
24,319.324,0.6776,1.05864,1.20207,0.84898,0.85228,0.88925,0.67346,0.87712,0.83054,1.53041,0.000151399,0.000151399,0.000151399
25,334.142,0.68552,1.02594,1.20466,0.86501,0.82638,0.88174,0.66078,0.91054,0.86894,1.54023,0.000145894,0.000145894,0.000145894
26,346.583,0.67608,0.97573,1.19615,0.88183,0.7965,0.88816,0.66803,0.89501,0.85155,1.53239,0.00014039,0.00014039,0.00014039
27,358.762,0.6523,0.96301,1.17895,0.86432,0.80646,0.8757,0.667,0.8817,0.84508,1.53876,0.000134886,0.000134886,0.000134886
28,371.169,0.66988,0.94346,1.18946,0.88767,0.82115,0.88492,0.67473,0.8903,0.8253,1.53893,0.000129381,0.000129381,0.000129381
29,383.505,0.64914,0.93233,1.16968,0.85416,0.84015,0.87263,0.66267,0.90102,0.86879,1.54693,0.000123877,0.000123877,0.000123877
30,395.771,0.62983,0.88533,1.16217,0.88479,0.82182,0.89006,0.68406,0.8779,0.79096,1.51885,0.000118372,0.000118372,0.000118372
31,407.912,0.62858,0.88608,1.16176,0.85547,0.83315,0.88858,0.66725,0.90226,0.80351,1.52454,0.000112868,0.000112868,0.000112868
32,420.189,0.63461,0.90357,1.1493,0.86297,0.82567,0.88845,0.67854,0.89512,0.8026,1.53356,0.000107364,0.000107364,0.000107364
33,432.376,0.61247,0.86467,1.16034,0.87302,0.83128,0.8869,0.6692,0.90751,0.84512,1.53341,0.000101859,0.000101859,0.000101859
34,445.79,0.60474,0.84067,1.1437,0.84814,0.82825,0.8869,0.6793,0.86378,0.83671,1.49761,9.63548e-05,9.63548e-05,9.63548e-05
35,458.04,0.59377,0.8375,1.13794,0.82342,0.86902,0.87817,0.66991,0.88334,0.83341,1.52329,9.08504e-05,9.08504e-05,9.08504e-05
36,470.409,0.59809,0.83535,1.1438,0.89275,0.81015,0.88455,0.66752,0.89485,0.80368,1.54061,8.5346e-05,8.5346e-05,8.5346e-05
37,482.533,0.61428,0.82941,1.14204,0.87889,0.81899,0.88231,0.67478,0.87633,0.80231,1.49649,7.98416e-05,7.98416e-05,7.98416e-05
38,494.819,0.59849,0.80222,1.14118,0.85516,0.85202,0.88808,0.67534,0.87836,0.7971,1.50564,7.43372e-05,7.43372e-05,7.43372e-05
39,508.4,0.56994,0.8086,1.12164,0.88397,0.84508,0.88938,0.67451,0.89265,0.77806,1.5379,6.88328e-05,6.88328e-05,6.88328e-05
40,520.975,0.57779,0.78475,1.12088,0.87622,0.86911,0.89321,0.68312,0.89631,0.75195,1.55176,6.33284e-05,6.33284e-05,6.33284e-05
41,552.729,0.4673,0.97799,1.11618,0.8619,0.82987,0.86924,0.66356,0.89358,0.8522,1.55111,5.7824e-05,5.7824e-05,5.7824e-05
42,565.529,0.44314,0.86643,1.08037,0.86129,0.83861,0.88276,0.67029,0.89124,0.80133,1.55085,5.23196e-05,5.23196e-05,5.23196e-05
43,577.671,0.43092,0.83848,1.07393,0.86818,0.8548,0.89572,0.69181,0.87114,0.74952,1.54015,4.68152e-05,4.68152e-05,4.68152e-05
44,590.398,0.424,0.81612,1.06522,0.86662,0.85599,0.89568,0.68988,0.87395,0.74901,1.55292,4.13108e-05,4.13108e-05,4.13108e-05
45,602.596,0.40654,0.78358,1.04612,0.88925,0.84311,0.89552,0.68815,0.87161,0.74407,1.55658,3.58064e-05,3.58064e-05,3.58064e-05
46,615.014,0.39573,0.76555,1.03435,0.88173,0.83986,0.8899,0.68201,0.87192,0.75982,1.55787,3.0302e-05,3.0302e-05,3.0302e-05
47,629.158,0.39597,0.7756,1.03859,0.86919,0.84977,0.89805,0.68143,0.87769,0.75906,1.56522,2.47976e-05,2.47976e-05,2.47976e-05
48,642.201,0.38856,0.76265,1.03119,0.88204,0.84515,0.89803,0.68102,0.8863,0.75397,1.58021,1.92932e-05,1.92932e-05,1.92932e-05
49,654.583,0.38614,0.73428,1.02783,0.86812,0.85969,0.89626,0.68074,0.87658,0.74626,1.57182,1.37888e-05,1.37888e-05,1.37888e-05
50,667.078,0.38102,0.75028,1.02648,0.86535,0.84804,0.89014,0.68067,0.89802,0.74207,1.59274,8.2844e-06,8.2844e-06,8.2844e-06
